timestamp,link,util_bps,capacity_bps,util_pct,congested
13:49:45,s1-s5,8110256,5000000,162.2,1
13:49:45,s5-s3,8122436,5000000,162.4,1
13:49:45,s2-s4,10066364,5000000,201.3,1
13:49:47,s1-s2,12180000,10000000,121.8,1
13:49:47,s2-s3,16202648,10000000,162.0,1
13:49:47,s3-s4,13147092,10000000,131.5,1
13:49:47,s1-s5,8109444,5000000,162.2,1
13:49:47,s5-s3,8106196,5000000,162.1,1
13:49:47,s2-s4,10050936,5000000,201.0,1
13:49:49,s1-s2,12151580,10000000,121.5,1
13:49:49,s2-s3,16162860,10000000,161.6,1
13:49:49,s3-s4,13125980,10000000,131.3,1
13:49:49,s1-s5,8103760,5000000,162.1,1
13:49:49,s5-s3,8101324,5000000,162.0,1
13:49:49,s2-s4,10045252,5000000,200.9,1
13:49:51,s1-s2,12157544,10000000,121.6,1
13:49:51,s2-s3,16168824,10000000,161.7,1
13:49:51,s3-s4,13120576,10000000,131.2,1
13:49:51,s1-s5,8100512,5000000,162.0,1
13:49:51,s5-s3,8101604,5000000,162.0,1
13:49:51,s2-s4,10043096,5000000,200.9,1
13:49:53,s1-s2,12129936,10000000,121.3,1
13:49:53,s2-s3,16401588,10000000,164.0,1
13:49:53,s3-s4,13359024,10000000,133.6,1
13:49:53,s1-s5,8245048,5000000,164.9,1
13:49:53,s5-s3,8247484,5000000,164.9,1
13:49:53,s2-s4,10231200,5000000,204.6,1
13:49:55,s1-s2,12373116,10000000,123.7,1
13:49:55,s2-s3,16134608,10000000,161.3,1
13:49:55,s3-s4,13116936,10000000,131.2,1
13:49:55,s1-s5,8095724,5000000,161.9,1
13:49:55,s5-s3,8090852,5000000,161.8,1
13:49:55,s2-s4,10044552,5000000,200.9,1
13:49:57,s1-s2,12153484,10000000,121.5,1
13:49:57,s2-s3,16107392,10000000,161.1,1
13:49:57,s3-s4,13123544,10000000,131.2,1
13:49:57,s1-s5,8099980,5000000,162.0,1
13:49:57,s5-s3,8103228,5000000,162.1,1
13:49:57,s2-s4,10047688,5000000,201.0,1
13:49:59,s1-s2,12144580,10000000,121.4,1
13:49:59,s2-s3,16097956,10000000,161.0,1
13:49:59,s3-s4,13122508,10000000,131.2,1
13:49:59,s1-s5,8100260,5000000,162.0,1
13:49:59,s5-s3,8103508,5000000,162.1,1
13:49:59,s2-s4,10049060,5000000,201.0,1
13:50:01,s1-s2,12136152,10000000,121.4,1
13:50:01,s2-s3,16161236,10000000,161.6,1
13:50:01,s3-s4,13124356,10000000,131.2,1
13:50:01,s1-s5,8081024,5000000,161.6,1
13:50:01,s5-s3,8104572,5000000,162.1,1
13:50:01,s2-s4,10042816,5000000,200.9,1
13:50:03,s1-s2,12121816,10000000,121.2,1
13:50:03,s2-s3,16131192,10000000,161.3,1
13:50:03,s3-s4,13116236,10000000,131.2,1
13:50:03,s1-s5,8073716,5000000,161.5,1
13:50:03,s5-s3,8099700,5000000,162.0,1
